4hvb_prot,9.95
2qki_prot,6.41
3bwk_prot,3.94
1bnm_prot,10.0
5yib_prot,5.48
3wzj_prot,8.18
5o4s_prot,5.47
4y7r_prot,5.03
1gww_prot,3.59
1xzx_prot,10.22
2m0o_prot,5.38
6a9c_prot,2.74
5c7b_prot,3.0
2gz8_prot,5.52
4lv3_prot,5.49
4qxr_prot,6.0
3ch9_prot,3.3
4fvq_prot,6.0
1iq1_prot,7.46
6qat_prot,7.33
6dl9_prot,6.0
2c6e_prot,9.1
4lpf_prot,3.51
3tfv_prot,7.1
6e92_prot,7.46
4dus_prot,8.3
1kr3_prot,5.0
1r6z_prot,5.0
1lhg_prot,7.1
5jna_prot,7.35
6azk_prot,5.64
4cfv_prot,4.63
5bmm_prot,8.4
4yrc_prot,2.7
6o68_prot,4.99
5xyx_prot,4.84
3iaf_prot,2.92
5ew9_prot,11.0
3ads_prot,5.01
5mty_prot,8.89
4yt6_prot,7.96
4dzw_prot,7.89
6cyi_prot,5.04
4acm_prot,6.68
3zo4_prot,6.83
2yga_prot,4.61
4hyf_prot,7.6
5itd_prot,6.58
6bfw_prot,6.66
6hf5_prot,5.17
3rl8_prot,5.98
5aqq_prot,3.1
3n7r_prot,7.7
2fjn_prot,7.41
2x4s_prot,4.2
4mfe_prot,2.27
5nn0_prot,10.96
3uvl_prot,5.69
1jd0_prot,8.24
4oeg_prot,5.05
4pnq_prot,5.0
4jzd_prot,8.3
5ir1_prot,5.27
3d1e_prot,5.77
1mx1_prot,4.0
4uwk_prot,9.0
3rjm_prot,6.61
5hgq_prot,7.34
4aof_prot,7.1
2ez5_prot,5.52
3fty_prot,3.21
5wlg_prot,4.72
5i2z_prot,7.14
5mxr_prot,5.21
3b8h_prot,4.2
3khv_prot,1.85
6p7p_prot,6.15
6g9s_prot,8.0
3te5_prot,4.91
4kiq_prot,7.64
3nw9_prot,9.0
3ft5_prot,4.82
3s3m_prot,7.4
4hs8_prot,7.92
2qn3_prot,5.36
1bmb_prot,6.15
6gu3_prot,5.36
5ylt_prot,6.39
5o1e_prot,4.48
4gly_prot,5.11
4oo9_prot,9.07
5e7r_prot,7.6
5fa7_prot,8.4
